Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Frequency (Hz),Amplitude (Oe),M-DC (emu),M-Std.Dev. (emu),M' (emu),M'' (emu),Moment (emu),Phase (deg),Calcoil' (emu),Calcoil'' (emu),Calcoil (emu),CC Phase (deg),Count,Gain,Measure Type,Elapsed (sec),Sample Center (cm),Max.Signal (V),PPMS Status (code),DSP Status (code),Min.Temperature (K),Max.Temperature (K),Min.Field (Oe),Max.Field (Oe),DC Position (cm),PPMS Temperature (K),PPMS Position,Bridge 1 Resistance (ohms),Bridge 1 Excitation (uA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (uA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (uA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (uA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (watts),Drive 2 Iout (mA),Drive 2 Ipower (watts),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,2121965.34,120.1517296,9999.475,,,0.00215705335111574,6.27166821463351E-5,,,,,,,,,5,125,0,6.99999975040555,0.0755307589122187,4.99433815769184E-5,4374,0,120.0367279,120.2667313,9999.475,9999.475,-0.0351622320505617,124.33765,,,,,,,,,,,,,,,,,,,,,,,120.1517296
,2122116.96,125.16456985,9999.475,,,0.00209687602267166,6.20859685866254E-5,,,,,,,,,5,125,0,6.39000004157424,0.0755307589122187,4.9417843372956E-5,4374,0,125.060051,125.2690887,9999.475,9999.475,-0.0314242551506729,129.50745,,,,,,,,,,,,,,,,,,,,,,,125.16456985
,2122269.38,130.18667605,9999.475,,,0.0020600619546137,6.34705063133773E-5,,,,,,,,,5,125,0,6.92199964541942,0.0755307589122187,4.90358027414169E-5,4374,0,130.0703583,130.3029938,9999.475,9999.475,-0.0351346507478179,134.7727,,,,,,,,,,,,,,,,,,,,,,,130.18667605
,2122420.24,135.17184445,9999.475,,,0.00200423285728094,6.32209356244879E-5,,,,,,,,,5,125,0,7.1400003740564,0.0755307589122187,4.87292496040519E-5,4374,0,135.0485687,135.2951202,9999.475,9999.475,-0.032552012870584,140.0771,,,,,,,,,,,,,,,,,,,,,,,135.17184445
,2122570.21,140.1567459,9999.475,,,0.00196565852495494,6.55408549365358E-5,,,,,,,,,5,125,0,6.73400026280433,0.0755307589122187,4.84935863380741E-5,4374,0,140.0470123,140.2664795,9999.475,9999.475,-0.0376440788195099,145.0055,,,,,,,,,,,,,,,,,,,,,,,140.1567459
,2122723.36,145.1427536,9999.475,,,0.00192004957136554,6.41496446701907E-5,,,,,,,,,5,125,0,6.7810001084581,0.0755307589122187,4.83256154656527E-5,4374,0,145.0287018,145.2568054,9999.475,9999.475,-0.0341700837037621,151.05715,,,,,,,,,,,,,,,,,,,,,,,145.1427536
,2122873.34,150.16130065,9999.475,,,0.00186851288532048,6.62174731732827E-5,,,,,,,,,5,125,0,7.17200017534196,0.0755307589122187,4.79440371827976E-5,4374,0,150.042984,150.2796173,9999.475,9999.475,-0.0333909256942561,155.1537,,,,,,,,,,,,,,,,,,,,,,,150.16130065
,2123026.13,155.1201019,9999.475,,,0.00183201914899079,6.58094614247337E-5,,,,,,,,,5,125,0,6.32800015155226,0.0755307589122187,4.76524317933606E-5,4374,0,155.0088348,155.231369,9999.475,9999.475,-0.0301956067172419,161.93535,,,,,,,,,,,,,,,,,,,,,,,155.1201019
,2123174.38,160.16680145,9999.475,,,0.00178851349159377,6.48753721586097E-5,,,,,,,,,5,125,0,6.8910000147298,0.0755307589122187,4.72095130968405E-5,4374,0,160.0553741,160.2782288,9999.475,9999.475,-0.0278195988526293,164.7794,,,,,,,,,,,,,,,,,,,,,,,160.16680145
,2123330.82,165.15126035,9999.475,,,0.00175741772526785,6.64198601635316E-5,,,,,,,,,5,125,0,6.70300000347197,0.0755307589122187,4.71817854433522E-5,4374,0,165.0422821,165.2602386,9999.475,9999.475,-0.0305133232089491,172.41915,,,,,,,,,,,,,,,,,,,,,,,165.15126035
,2123478.66,170.18476865,9999.475,,,0.00172837410850829,7.02969494094444E-5,,,,,,,,,5,125,0,6.70300000347197,0.0755307589122187,4.70303557390065E-5,4374,0,170.0582733,170.311264,9999.475,9999.475,-0.0447436633089671,176.1971,,,,,,,,,,,,,,,,,,,,,,,170.18476865
,2123628.75,175.11689755,9999.475,,,0.0016783108785716,6.87954743503178E-5,,,,,,,,,5,125,0,6.95300053339452,0.0755307589122187,4.66884715858741E-5,4374,0,175.0223846,175.2114105,9999.475,9999.475,-0.0359763438728953,179.72365,,,,,,,,,,,,,,,,,,,,,,,175.11689755
,2123790.15,180.18038175,9999.475,,,0.00165155155692834,6.55640315643417E-5,,,,,,,,,5,125,0,7.20299980603159,0.0755307589122187,4.62775898462897E-5,4374,0,180.0418701,180.3188934,9999.475,9999.475,-0.0262001896872119,190.8042,,,,,,,,,,,,,,,,,,,,,,,180.18038175
,2123935.92,185.24046325,9999.475,,,0.00158896644206118,7.28369809944349E-5,,,,,,,,,5,125,0,7.15599996037781,0.0755307589122187,4.65023978466732E-5,4374,0,185.0817566,185.3991699,9999.475,9999.475,0.0420287421534094,192.3367,,,,,,,,,,,,,,,,,,,,,,,185.24046325
,2124081.49,190.1887436,9999.475,,,0.00156540611353458,6.94293347096145E-5,,,,,,,,,5,125,0,6.99999975040555,0.0755307589122187,4.63588543924675E-5,4374,0,190.0776215,190.2998657,9999.475,9999.475,-0.0278752616524636,194.66865,,,,,,,,,,,,,,,,,,,,,,,190.1887436
,2124234.72,195.1160126,9999.475,,,0.00154379088742698,7.06054987532445E-5,,,,,,,,,5,125,0,6.93699968978763,0.0755307589122187,4.64958934659066E-5,4374,0,195.0283661,195.2036591,9999.475,9999.475,-0.0242814326380829,199.39705,,,,,,,,,,,,,,,,,,,,,,,195.1160126
,2124397.15,200.1960144,9999.475,,,0.00152968996134926,7.02616055953946E-5,,,,,,,,,5,125,0,6.65599952917546,0.0755307589122187,4.62582493882903E-5,4374,0,200.1088867,200.2831421,9999.475,9999.475,-0.0285663314465653,210.0722,,,,,,,,,,,,,,,,,,,,,,,200.1960144
,2124549.59,205.18343355,9999.475,,,0.00148839469357078,7.30697194709502E-5,,,,,,,,,5,125,0,6.96799994911998,0.0755307589122187,4.61487270692927E-5,4374,0,205.0427094,205.3241577,9999.475,9999.475,-0.0322076530549532,218.2795,,,,,,,,,,,,,,,,,,,,,,,205.18343355
,2124696.96,210.2093277,9999.475,,,0.00145632105292165,7.77690456702913E-5,,,,,,,,,5,125,0,6.62499989848584,0.0755307589122187,4.59679936564296E-5,4374,0,210.0505676,210.3680878,9999.475,9999.475,-0.0391327477388298,220.69355,,,,,,,,,,,,,,,,,,,,,,,210.2093277
,2124845.80,215.24505615,9999.475,,,0.00142463815077386,7.8517301656846E-5,,,,,,,,,5,125,0,6.71900021843612,0.0755307589122187,4.57850350971546E-5,4374,0,215.067749,215.4223633,9999.475,9999.475,-0.0409890711732899,223.9898,,,,,,,,,,,,,,,,,,,,,,,215.24505615
,2124994.72,220.21772765,9999.475,,,0.00140292725568079,7.64498439275171E-5,,,,,,,,,5,125,0,6.95299990475178,0.0755307589122187,4.58084791267917E-5,4374,0,220.0418243,220.393631,9999.475,9999.475,-0.0366103013492606,228.51005,,,,,,,,,,,,,,,,,,,,,,,220.21772765
,2125147.03,225.23230745,9999.475,,,0.00136383292830623,8.19287914838472E-5,,,,,,,,,5,125,0,6.92200027406216,0.0755307589122187,4.55963036840401E-5,4374,0,225.0615082,225.4031067,9999.475,9999.475,-0.0478602093411107,233.3766,,,,,,,,,,,,,,,,,,,,,,,225.23230745
,2125299.22,230.2660141,9999.475,,,0.00134585016003921,8.24888425021106E-5,,,,,,,,,5,125,0,7.07799985539168,0.0755307589122187,4.55990417130975E-5,4374,0,230.0907135,230.4413147,9999.475,9999.475,-0.0435611351330323,238.46745,,,,,,,,,,,,,,,,,,,,,,,230.2660141
,2125452.15,235.24465175,9999.475,,,0.0013376504511745,7.81932636668345E-5,,,,,,,,,5,125,0,6.6560001578182,0.0755307589122187,4.53022359547288E-5,4374,0,235.0641479,235.4251556,9999.475,9999.475,-0.0385710454840919,243.94935,,,,,,,,,,,,,,,,,,,,,,,235.24465175
,2125604.44,240.2220688,9999.475,,,0.00130627218478864,8.1338657225667E-5,,,,,,,,,5,125,0,6.85999975539744,0.0755307589122187,4.53108313354031E-5,4374,0,240.0272522,240.4168854,9999.475,9999.475,-0.0502387058542477,249.4648,,,,,,,,,,,,,,,,,,,,,,,240.2220688
,2125758.91,245.26883695,9999.475,,,0.00127272806649485,8.36743050039149E-5,,,,,,,,,5,125,0,6.67199974413961,0.0755307589122187,4.51376667626167E-5,4374,0,245.099411,245.4382629,9999.475,9999.475,-0.0482164091300076,255.1901,,,,,,,,,,,,,,,,,,,,,,,245.26883695
,2125910.36,250.2587433,9999.475,,,0.00124021594033955,8.42899507960754E-5,,,,,,,,,5,125,0,6.82799995411187,0.0755307589122187,4.48203671035364E-5,4374,0,250.0990906,250.418396,9999.475,9999.475,-0.0515188215405718,260.565,,,,,,,,,,,,,,,,,,,,,,,250.2587433
,2126061.12,255.22034455,9999.475,,,0.00123479024151939,8.89966469945486E-5,,,,,,,,,5,125,0,6.43800005782396,0.0755307589122187,4.45400603116601E-5,4374,0,255.0793762,255.3613129,9999.475,9999.475,-0.0539498745089119,266.25065,,,,,,,,,,,,,,,,,,,,,,,255.22034455
